segment_id,avg_signal,min_signal,provider_best_signal,provider_redundancy_score,dead_zone_flag,risk_score,handover_risk,safe_flag,estimated_bandwidth_mbps
S00018,67.64,64.59,69.37,121.08,0,0.153,0.05,1,66.47
S00019,67.52,64.33,69.34,121.02,0,0.154,0.05,1,66.34
S00020,70.9,70.73,71.15,124.25,0,0.138,0.05,1,70.58
S00021,70.89,70.72,71.15,124.25,0,0.138,0.05,1,70.57
S00022,67.7,66.76,69.58,119.66,0,0.153,0.05,1,66.63
S00023,67.8,66.33,70.73,120.5,0,0.152,0.05,1,67.33
S00024,65.99,65.28,66.45,116.14,0,0.161,0.05,1,63.39
S00025,66.03,65.4,66.45,116.14,0,0.16,0.05,1,63.43
S00056,62.55,61.13,63.42,110.75,0,0.176,0.05,1,58.65
S00057,62.91,61.19,63.94,111.65,0,0.174,0.05,1,59.24
S00058,62.55,61.13,63.42,110.75,0,0.176,0.05,1,58.65
S00059,67.09,65.6,67.87,118.71,0,0.156,0.05,1,65.16
S00060,66.98,65.12,67.93,118.84,0,0.156,0.05,1,65.09
S00061,67.09,65.12,68.12,119.14,0,0.156,0.05,1,65.29
S00120,59.39,56.4,61.06,106.6,0,0.19,0.05,1,54.62
S00121,59.35,56.28,61.06,106.6,0,0.19,0.05,1,54.59
S00151,61.33,60.81,62.16,107.92,0,0.182,0.05,1,56.91
S00152,61.29,60.82,62.02,107.79,0,0.182,0.05,1,56.81
S00155,64.52,62.99,67.39,114.77,0,0.167,0.05,1,62.48
S00156,64.52,62.99,67.39,114.77,0,0.167,0.05,1,62.48
S00162,52.92,50.42,57.85,104.96,0,0.241,0.05,1,47.45
S00163,53.05,50.46,58.18,105.31,0,0.241,0.05,1,47.71
S00164,69.04,64.31,78.41,126.72,0,0.147,0.05,1,72.6
S00165,69.21,64.61,78.32,126.84,0,0.146,0.05,1,72.73
S00407,63.21,61.22,64.36,112.39,0,0.173,0.05,1,59.73
S00408,62.98,60.83,64.22,112.15,0,0.174,0.05,1,59.45
S00409,63.14,61.07,64.33,112.35,0,0.173,0.05,1,59.65
S00410,63.02,60.94,64.22,112.15,0,0.174,0.05,1,59.48
S00411,64.45,63.31,65.15,113.81,0,0.167,0.05,1,61.28
S00412,64.82,64.43,65.13,113.8,0,0.166,0.05,1,61.62
S00415,65.1,64.89,65.21,114.11,0,0.165,0.05,1,61.92
S00416,66.03,65.28,67.21,116.41,0,0.16,0.05,1,63.81
S00417,61.47,61.0,62.11,111.02,0,0.193,0.05,1,57.02
S00418,65.22,64.94,65.54,114.42,0,0.164,0.05,1,62.2
S00419,65.23,64.94,65.58,114.45,0,0.164,0.05,1,62.23
S00420,67.86,66.71,69.92,120.14,0,0.152,0.05,1,66.97
S00421,67.87,66.46,70.45,120.48,0,0.152,0.05,1,67.25
