lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
12.97,77.59,404,86,31401,783,,1000,1,1,GSM,,,,,,
12.97,77.59,404,71,125,25403,,1000,1,1,GSM,,,,,,
12.97,77.59,404,45,8511,232012556,,1000,1,1,LTE,,,8511,,,
12.97,77.59,404,45,6015,18112,,1000,1,1,GSM,,,,,,
12.97,77.59,404,71,125,25431,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,8251,47372,,1000,1,1,LTE,,,8251,,,
12.97,77.59,404,45,34021,26375964,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,45,25114,11343,,1000,1,1,GSM,,,,,,
12.97,77.59,404,71,125,25492,,1000,1,1,GSM,,,,,,
12.97,77.59,404,45,25114,58242,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,8252,181367063,,1000,1,1,LTE,,,8252,,,
12.97,77.6,404,45,25115,9962,,1000,1,1,GSM,,,,,,
12.97,77.59,404,86,21401,20597642,,1000,1,1,UMTS,,,,,,
12.97,77.59,404,44,1112,172,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,25115,9963,,1000,1,1,GSM,,,,,,
12.97,77.6,404,86,54103,205544710,,1000,1,1,LTE,,,54103,,,
12.97,77.6,404,45,34022,26345775,,1000,1,1,UMTS,,,,,,
12.97,77.59,404,86,54117,205481480,,1000,1,1,LTE,,,54117,,,
12.97,77.59,404,86,19006,42882,,1832,1,1,GSM,,,,,,
12.97,77.6,404,45,25114,1001,,1000,1,1,GSM,,,,,,
12.97,77.59,404,71,3310,20345213,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,71,3310,20345673,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,86,21102,20413724,,1000,1,1,UMTS,,,,,,
12.97,77.59,404,86,54117,207123976,,1000,1,1,LTE,,,54117,,,
12.97,77.59,404,86,65460,207351814,,1000,1,1,LTE,,,65460,,,
12.97,77.6,404,45,25114,27053,,1000,1,1,GSM,,,,,,
12.97,77.59,404,45,8251,196618,,1000,1,1,LTE,,,8251,,,
12.97,77.6,404,45,25114,301,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,25114,302,,1000,1,1,GSM,,,,,,
12.97,77.59,404,86,21401,20591632,,1000,1,1,UMTS,,,,,,
12.97,77.59,404,45,1040,1117707,,1000,1,1,LTE,,,1040,,,
12.97,77.59,404,45,34021,26374645,,1000,1,1,UMTS,,,,,,
12.97,77.59,404,45,34022,26374651,,1000,1,1,UMTS,,,,,,
12.97,77.59,404,45,34022,26374646,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,45,25115,21183,,1000,1,1,GSM,,,,,,
12.97,77.6,404,86,50025,29093,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,8252,181367062,,1000,1,1,LTE,,,8252,,,
12.97,77.6,404,45,25114,1002,,1000,1,1,GSM,,,,,,
12.97,77.59,404,45,8252,245309717,,1000,1,1,LTE,,,8252,,,
12.97,77.6,404,86,21102,20413722,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,45,408,1003,,1000,1,1,GSM,,,,,,
12.97,77.6,404,71,10004,33091502,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,45,34021,26366654,,1000,1,1,UMTS,,,,,,
12.97,77.59,404,86,31402,20171,,1000,1,1,GSM,,,,,,
12.97,77.59,404,86,31402,5491,,1000,1,1,GSM,,,,,,
12.97,77.59,404,86,31402,782,,1000,1,1,GSM,,,,,,
12.97,77.59,404,86,31402,20173,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,25114,1852,,1000,1,1,GSM,,,,,,
12.97,77.59,404,86,31402,781,,1000,1,1,GSM,,,,,,
12.97,77.59,404,45,25115,58243,,1000,1,1,GSM,,,,,,
